uke2_1_neu,uke2_2_neu,uke2_3_neu,recoded_uke2_4_neu,uke2_5_neu,recoded_uke2_6_neu,uke2_7_neu,recoded_uke2_8_neu,uke2_9_neu,age_group,q1,educ_rec,Parties,weight
4,3,4,3,4,2,4,2,4,6,1,2,2,1.3760509613149183
3,3,3,3,3,1,4,1,4,3,1,3,1,0.9971977747812163
4,4,3,4,4,1,4,1,4,5,1,1,2,0.825388858070917
4,4,4,4,4,4,4,1,4,3,1,3,1,0.6614761334624489
4,4,4,1,4,1,4,1,4,2,1,1,3,0.8253871307723807
1,1,1,1,1,1,1,1,1,5,1,NA,NA,0.9687641580744476
3,4,4,1,4,1,4,2,3,2,2,1,NA,1.17494845841589
4,4,4,4,4,4,4,2,4,2,1,3,3,0.8765610479987855
2,3,2,3,2,1,3,1,2,4,1,2,2,1.0915970764320992
1,1,1,2,1,1,1,1,1,2,1,1,NA,0.904209230642922
4,4,4,4,4,1,4,1,4,4,1,3,3,1.023600511826167
3,3,3,NA,3,2,4,2,4,5,1,2,1,0.6679350307393658
1,3,1,NA,NA,1,3,1,NA,5,1,2,4,0.7993691015882339
2,3,1,2,1,1,2,1,1,3,1,2,4,0.703623346233501
1,3,1,1,1,1,3,1,1,3,1,2,NA,0.9937767908965891
3,4,3,3,4,3,4,2,4,5,1,2,1,0.7853202024632281
1,1,1,1,1,1,1,1,1,5,2,1,NA,1.1307520119833174
4,NA,4,4,NA,2,2,4,3,2,1,1,1,0.6480276214866147
2,4,4,3,2,1,3,2,3,3,1,3,5,0.913962511826215
1,2,NA,NA,1,1,1,1,1,1,2,2,NA,1.1220972709274493
3,3,NA,1,4,3,3,1,4,5,1,NA,3,0.6910674769977337
4,4,4,4,4,2,4,1,4,5,1,3,1,0.6456736242414473
4,4,4,3,4,3,4,1,4,4,1,3,5,0.81882377669755
3,4,3,3,3,1,3,3,4,5,1,1,4,0.47948104284350707
4,4,4,4,4,3,4,2,4,4,1,2,NA,0.7597474540982357
3,2,4,3,4,2,3,4,2,3,2,3,3,1.0206777007354988
4,4,4,4,4,4,4,NA,4,4,2,2,NA,0.7604259772680356
